iter	Passed	Remaining
1426	80405	32286
1427	80450	32225
1428	80509	32169
1429	80561	32111
1430	80633	32061
1431	80691	32006
1432	80747	31949
1433	80801	31892
1434	80854	31834
1435	80910	31778
1436	80971	31723
1437	81037	31671
1438	81085	31611
1439	81139	31554
1440	81199	31499
1441	81272	31449
1442	81324	31391
1443	81378	31334
1444	81432	31276
1445	81475	31215
1446	81548	31165
1447	81610	31111
1448	81666	31054
1449	81713	30994
1450	81772	30939
1451	81823	30880
1452	81877	30823
1453	81924	30764
1454	81988	30710
1455	82051	30656
1456	82107	30600
1457	82174	30547
1458	82237	30493
1459	82280	30432
1460	82342	30378
1461	82397	30321
1462	82445	30261
1463	82504	30206
1464	82558	30149
1465	82629	30098
1466	82687	30042
1467	82747	29987
1468	82805	29931
1469	82860	29874
1470	82913	29817
1471	82972	29761
1472	83021	29703
1473	83076	29646
1474	83125	29587
1475	83188	29533
1476	83244	29476
1477	83291	29417
1478	83343	29358
1479	83399	29302
1480	83442	29241
1481	83498	29185
1482	83540	29123
1483	83592	29065
1484	83649	29009
1485	83708	28954
1486	83766	28898
1487	83829	28844
1488	83886	28788
1489	83941	28731
1490	83999	28675
1491	84059	28620
1492	84119	28565
1493	84178	28510
1494	84243	28456
1495	84295	28398
1496	84357	28344
1497	84398	28283
1498	84459	28228
1499	84515	28171
1500	84578	28117
1501	84628	28059
1502	84687	28003
1503	84751	27949
1504	84810	27894
1505	84857	27834
1506	84914	27778
1507	84972	27723
1508	85029	27667
1509	85081	27609
1510	85145	27555
1511	85190	27495
1512	85234	27435
1513	85289	27378
1514	85329	27316
1515	85394	27263
1516	85457	27208
1517	85531	27158
1518	85587	27101
1519	85640	27044
1520	85691	26986
1521	85744	26929
1522	85804	26873
1523	85863	26818
1524	85920	26762
1525	85981	26707
1526	86029	26648
1527	86079	26589
1528	86139	26534
1529	86192	26477
1530	86248	26421
1531	86303	26364
1532	86351	26305
1533	86398	26246
1534	86440	26185
1535	86490	26127
1536	86548	26071
1537	86596	26012
1538	86645	25954
1539	86692	25895
1540	86748	25838
1541	86813	25784
1542	86870	25728
1543	86919	25670
1544	86977	25614
1545	87038	25559
1546	87081	25499
1547	87142	25444
1548	87204	25390
1549	87258	25333
1550	87308	25274
1551	87350	25214
1552	87405	25158
1553	87457	25100
1554	87526	25047
1555	87573	24988
1556	87630	24932
1557	87703	24881
1558	87763	24825
1559	87821	24770
1560	87892	24717
1561	87940	24659
1562	88003	24604
1563	88053	24546
1564	88126	24495
1565	88184	24439
1566	88239	24382
1567	88287	24323
1568	88335	24265
1569	88402	24212
1570	88468	24158
1571	88519	24100
1572	88570	24042
1573	88618	23984
1574	88679	23929
1575	88737	23873
1576	88793	23817
1577	88851	23761
1578	88907	23704
1579	88962	23648
1580	89019	23592
1581	89091	23540
1582	89154	23485
1583	89209	23428
1584	89289	23378
1585	89363	23326
1586	89421	23270
1587	89474	23213
1588	89522	23155
1589	89584	23100
1590	89646	23045
1591	89699	22988
1592	89756	22932
1593	89817	22877
1594	89892	22825
1595	89964	22773
1596	90019	22716
1597	90065	22657
1598	90122	22600
1599	90188	22547
1600	90239	22489
1601	90289	22431
1602	90344	22374
1603	90398	22317
1604	90438	22257
1605	90487	22199
1606	90557	22146
1607	90617	22090
1608	90685	22037
1609	90752	21983
1610	90811	21927
1611	90867	21871
1612	90916	21813
1613	90971	21756
1614	91042	21703
1615	91096	21646
1616	91147	21589
1617	91202	21532
1618	91248	21473
1619	91316	21419
1620	91363	21361
1621	91431	21307
1622	91485	21250
1623	91539	21193
1624	91598	21138
1625	91657	21082
1626	91710	21025
1627	91756	20966
1628	91819	20911
1629	91861	20851
1630	91908	20793
1631	91973	20739
1632	92024	20681
1633	92070	20622
1634	92123	20565
1635	92187	20511
1636	92242	20454
1637	92304	20399
1638	92352	20341
1639	92404	20283
1640	92457	20226
1641	92499	20167
1642	92559	20111
1643	92621	20056
1644	92673	19999
1645	92726	19942
1646	92780	19885
1647	92861	19834
1648	92914	19777
1649	92958	19718
1650	93032	19665
1651	93072	19606
1652	93135	19551
1653	93191	19494
1654	93250	19438
1655	93320	19385
1656	93378	19329
1657	93427	19271
1658	93480	19214
1659	93535	19157
1660	93596	19102
